iter	Logloss
0	0.6694791931
1	0.6485984988
2	0.6309391426
3	0.6163107899
4	0.6035993513
5	0.5929148798
6	0.5831481514
7	0.5758819497
8	0.5683258242
9	0.5620335999
10	0.5556805596
11	0.5501951752
12	0.5457692964
13	0.5414443493
14	0.5376013499
15	0.5337487573
16	0.5305862692
17	0.5273126615
18	0.5248580356
19	0.5222531734
20	0.5199751881
21	0.5175412265
22	0.515515777
23	0.5137584808
24	0.511958795
25	0.5103057549
26	0.5089864939
27	0.5075900363
28	0.5061188765
29	0.5047541129
30	0.5033332038
31	0.5023298966
32	0.5009641635
33	0.499861811
34	0.4988238896
35	0.4977789822
36	0.4966865654
37	0.4954672599
38	0.4946550447
39	0.4937841351
40	0.4929114267
41	0.4918803964
42	0.4911536193
43	0.4900696912
44	0.4891547484
45	0.4884952388
46	0.4878805673
47	0.4871785317
48	0.4865295963
49	0.4859300955
50	0.4853476575
51	0.4847981989
52	0.484317398
53	0.4838150102
54	0.4832396577
55	0.4826755981
56	0.4820548243
57	0.4814274997
58	0.48098799
59	0.4803381084
60	0.4798861775
61	0.4794356338
62	0.47906508
63	0.4787112987
64	0.4782724275
65	0.4778748614
66	0.4774663245
67	0.4771230676
68	0.4768018707
69	0.4764398979
70	0.4758864549
71	0.4754669562
72	0.4751847115
73	0.4748615485
74	0.4745888543
75	0.4742590896
76	0.4739719123
77	0.473665039
78	0.4734252619
79	0.4731636087
80	0.4728809809
81	0.4726523826
82	0.4723976255
83	0.4720943352
84	0.4718853974
85	0.4716646039
86	0.4714552492
87	0.4711576819
88	0.4709499133
89	0.4707208963
90	0.4705222425
91	0.470338927
92	0.4701444508
93	0.4699108566
94	0.4697492365
95	0.4695549121
96	0.469352018
97	0.4692040223
98	0.4690451045
99	0.4688721183
100	0.4687051428
101	0.4684803832
102	0.4682672229
103	0.4680070656
104	0.4678325076
105	0.4676858734
106	0.467515076
107	0.4673661949
108	0.4672179788
109	0.4670763795
110	0.4669160421
111	0.4667829521
112	0.4666533826
113	0.466515742
114	0.4663509155
115	0.4661928539
116	0.4660303278
117	0.4658953031
118	0.4657585984
119	0.4656369486
120	0.4654896177
121	0.4653770831
122	0.4652478996
123	0.4651142817
124	0.4649906576
125	0.4648853504
126	0.464779794
127	0.4646590256
128	0.4645367446
129	0.4644249289
130	0.464311051
131	0.464211345
132	0.464083284
133	0.463959971
134	0.4638521471
