iter	Passed	Remaining
315	655	1418
316	656	1415
317	658	1412
318	660	1410
319	662	1408
320	664	1406
321	667	1404
322	668	1402
323	670	1399
324	672	1397
325	675	1395
326	677	1393
327	679	1391
328	680	1388
329	682	1386
330	684	1384
331	686	1381
332	688	1378
333	690	1376
334	692	1373
335	693	1371
336	695	1369
337	697	1366
338	699	1364
339	701	1362
340	703	1360
341	705	1357
342	707	1355
343	709	1353
344	711	1350
345	713	1348
346	715	1345
347	717	1343
348	719	1341
349	721	1339
350	723	1337
351	725	1335
352	727	1333
353	729	1330
354	731	1328
355	733	1326
356	735	1324
357	737	1321
358	739	1319
359	741	1317
360	742	1315
361	744	1312
362	746	1310
363	748	1308
364	750	1306
365	752	1303
366	754	1301
367	756	1299
368	758	1296
369	760	1294
370	762	1292
371	764	1290
372	766	1288
373	768	1286
374	770	1284
375	772	1281
376	774	1280
377	776	1277
378	778	1275
379	780	1273
380	782	1271
381	784	1268
382	786	1266
383	788	1264
384	790	1262
385	792	1260
386	794	1258
387	796	1256
388	798	1254
389	800	1252
390	802	1249
391	804	1247
392	806	1246
393	808	1243
394	810	1241
395	812	1239
396	814	1237
397	816	1234
398	818	1232
399	820	1230
400	822	1228
401	824	1226
402	826	1223
403	827	1221
404	829	1218
405	831	1216
406	833	1215
407	836	1213
408	838	1211
409	840	1209
410	842	1207
411	844	1205
412	846	1203
413	848	1201
414	850	1199
415	853	1197
416	855	1195
417	857	1193
418	859	1191
419	860	1188
420	863	1187
421	865	1185
422	867	1182
423	869	1181
424	871	1179
425	873	1177
426	875	1175
427	877	1173
428	879	1171
429	881	1169
430	883	1167
431	886	1165
432	888	1163
433	890	1161
434	893	1159
435	895	1158
436	897	1156
437	899	1154
438	901	1152
439	903	1150
440	905	1148
441	908	1146
442	909	1144
443	912	1142
444	914	1140
445	916	1138
446	918	1136
447	921	1134
448	923	1133
449	925	1131
450	927	1129
451	929	1127
452	931	1125
453	933	1123
454	935	1121
455	938	1119
456	940	1117
457	942	1115
458	944	1113
459	947	1112
460	949	1110
461	951	1108
462	953	1106
463	956	1104
464	958	1102
465	960	1100
466	962	1098
467	964	1096
468	967	1094
469	969	1093
470	971	1090
471	973	1088
472	975	1086
473	977	1085
474	980	1083
475	982	1081
476	984	1079
477	986	1077
478	988	1075
479	990	1073
480	992	1071
481	995	1069
482	997	1067
483	999	1065
484	1001	1063
485	1003	1061
486	1005	1059
487	1007	1057
488	1010	1055
489	1012	1053
490	1013	1050
491	1015	1048
492	1017	1046
493	1020	1044
494	1022	1043
495	1024	1041
496	1026	1039
497	1029	1037
498	1031	1035
499	1032	1032
500	1035	1031
501	1037	1028
502	1039	1027
503	1041	1025
504	1043	1023
505	1046	1021
506	1048	1019
507	1050	1017
508	1052	1015
509	1054	1013
510	1057	1011
511	1059	1009
512	1061	1007
513	1063	1005
514	1065	1003
515	1067	1001
516	1070	999
517	1072	998
518	1074	996
519	1077	994
520	1079	992
521	1081	990
522	1083	988
523	1085	986
524	1087	984
525	1089	982
526	1091	980
527	1094	978
528	1096	976
529	1098	974
530	1100	972
531	1103	970
532	1105	968
533	1107	966
534	1109	964
535	1111	962
536	1113	960
537	1115	958
538	1117	956
539	1120	954
540	1122	952
541	1124	950
542	1126	948
543	1128	946
544	1130	943
545	1132	941
546	1134	939
547	1136	937
548	1138	935
549	1140	933
550	1143	931
551	1145	929
552	1147	927
553	1149	925
554	1151	923
555	1153	921
556	1156	919
557	1158	917
558	1160	915
559	1163	913
560	1165	911
561	1167	909
562	1169	907
563	1171	905
564	1173	903
565	1175	901
566	1178	899
567	1180	897
568	1182	895
569	1184	893
570	1187	891
571	1189	889
572	1191	887
573	1193	885
574	1195	883
575	1197	881
576	1200	879
577	1202	877
578	1204	875
579	1206	873
580	1208	871
581	1211	869
582	1213	867
583	1215	866
584	1217	863
585	1220	862
586	1222	860
587	1224	858
588	1226	856
589	1229	854
590	1231	852
591	1233	850
592	1235	848
593	1237	846
594	1240	844
595	1242	842
596	1244	840
597	1246	837
598	1248	835
599	1250	833
600	1252	831
601	1254	829
602	1257	827
603	1259	825
604	1261	823
605	1264	821
606	1266	819
607	1268	818
608	1271	816
609	1273	814
610	1275	812
611	1278	810
612	1280	808
613	1282	806
614	1284	804
615	1286	802
616	1288	800
617	1291	798
618	1293	796
619	1295	794
620	1298	792
621	1300	790
622	1302	788
623	1304	786
624	1307	784
625	1309	782
626	1311	780
627	1314	778
628	1316	776
629	1318	774
630	1320	772
631	1322	770
632	1325	768
633	1327	766
634	1329	764
635	1331	762
636	1334	760
637	1336	758
638	1338	756
639	1341	754
640	1343	752
641	1345	750
642	1348	748
643	1350	746
644	1352	744
645	1355	742
646	1357	740
647	1359	738
648	1361	736
649	1364	734
650	1366	732
651	1368	730
652	1370	728
653	1372	726
654	1375	724
655	1377	722
656	1379	719
657	1381	717
658	1383	715
659	1385	713
660	1388	711
661	1390	709
662	1392	707
663	1395	705
664	1397	703
665	1399	701
666	1401	699
667	1404	697
668	1406	695
669	1408	693
670	1410	691
671	1413	689
672	1415	687
673	1417	685
674	1419	683
675	1421	681
676	1423	679
677	1426	677
678	1428	675
679	1430	673
680	1432	671
681	1434	669
682	1437	667
683	1439	664
684	1441	662
685	1443	660
686	1446	658
687	1448	656
688	1450	654
689	1453	652
690	1455	650
691	1457	648
692	1459	646
693	1462	644
694	1464	642
695	1467	640
696	1469	638
697	1471	636
698	1474	634
699	1476	632
700	1478	630
701	1480	628
702	1483	626
703	1485	624
704	1487	622
705	1489	620
706	1492	618
707	1494	616
708	1496	614
709	1498	612
710	1501	610
711	1503	608
712	1505	606
713	1508	604
714	1510	602
715	1512	599
716	1514	597
717	1517	595
718	1519	593
719	1521	591
720	1523	589
721	1526	587
722	1528	585
723	1530	583
724	1532	581
725	1535	579
726	1537	577
727	1540	575
728	1542	573
729	1544	571
730	1546	569
731	1549	567
732	1551	565
733	1553	563
734	1555	560
735	1558	558
736	1560	556
737	1562	554
738	1565	552
739	1567	550
740	1569	548
741	1571	546
742	1573	544
743	1575	542
744	1577	540
745	1580	537
746	1582	535
747	1584	533
748	1587	531
749	1589	529
750	1591	527
751	1593	525
752	1596	523
753	1598	521
754	1600	519
755	1603	517
756	1605	515
757	1607	513
758	1609	511
759	1612	509
760	1614	507
761	1616	504
762	1618	502
763	1621	500
764	1623	498
765	1625	496
766	1628	494
767	1630	492
768	1632	490
769	1635	488
770	1637	486
771	1639	484
772	1641	482
773	1644	480
774	1646	477
775	1648	475
776	1650	473
777	1652	471
778	1654	469
779	1657	467
780	1658	465
781	1661	463
782	1663	460
783	1665	458
784	1667	456
785	1669	454
786	1671	452
787	1673	450
788	1675	448
789	1677	445
790	1679	443
791	1682	441
792	1684	439
793	1686	437
794	1688	435
795	1691	433
796	1693	431
797	1695	429
798	1697	427
799	1699	424
800	1702	422
801	1704	420
802	1706	418
803	1708	416
804	1710	414
805	1712	412
806	1714	410
807	1717	408
808	1719	405
809	1721	403
810	1724	401
811	1726	399
812	1728	397
813	1731	395
814	1733	393
815	1735	391
816	1736	389
817	1738	386
818	1741	384
819	1743	382
820	1745	380
821	1747	378
822	1749	376
823	1752	374
824	1754	372
825	1756	369
826	1758	367
827	1760	365
828	1763	363
829	1765	361
830	1767	359
831	1770	357
832	1772	355
833	1774	353
834	1776	350
835	1778	348
836	1780	346
837	1783	344
838	1785	342
839	1787	340
840	1789	338
841	1791	336
842	1793	334
843	1796	331
844	1798	329
845	1800	327
846	1802	325
847	1804	323
848	1807	321
849	1809	319
850	1811	317
851	1813	315
852	1815	312
853	1817	310
854	1820	308
855	1822	306
856	1824	304
857	1827	302
858	1829	300
859	1831	298
860	1833	295
861	1835	293
862	1837	291
863	1839	289
864	1841	287
865	1844	285
866	1846	283
867	1848	281
868	1851	279
869	1853	276
870	1855	274
871	1857	272
872	1859	270
873	1862	268
874	1864	266
875	1866	264
876	1868	262
877	1870	259
878	1873	257
879	1875	255
880	1877	253
881	1879	251
882	1882	249
883	1884	247
884	1886	245
885	1888	243
886	1891	240
887	1893	238
888	1895	236
889	1898	234
890	1900	232
891	1902	230
892	1904	228
893	1906	226
894	1909	224
895	1911	221
896	1913	219
897	1915	217
898	1918	215
899	1921	213
900	1924	211
901	1926	209
902	1928	207
903	1930	205
904	1932	202
905	1935	200
906	1937	198
907	1939	196
908	1941	194
909	1943	192
910	1946	190
911	1947	187
912	1950	185
913	1952	183
914	1954	181
915	1957	179
916	1959	177
917	1962	175
918	1964	173
919	1966	171
920	1968	168
921	1971	166
922	1973	164
923	1975	162
924	1978	160
925	1980	158
926	1983	156
927	1985	154
928	1987	151
929	1990	149
930	1992	147
931	1994	145
932	1996	143
933	1998	141
934	2000	139
935	2003	136
936	2005	134
937	2007	132
938	2010	130
939	2012	128
940	2014	126
941	2016	124
942	2019	122
943	2021	119
944	2024	117
945	2026	115
946	2028	113
947	2031	111
948	2033	109
949	2035	107
950	2038	105
951	2040	102
952	2042	100
953	2044	98
954	2046	96
955	2048	94
956	2050	92
957	2053	90
958	2055	87
959	2057	85
960	2060	83
961	2062	81
962	2064	79
963	2066	77
964	2069	75
965	2071	72
966	2074	70
967	2076	68
968	2079	66
969	2081	64
970	2083	62
971	2086	60
972	2088	57
973	2091	55
974	2093	53
975	2095	51
976	2097	49
977	2100	47
978	2102	45
979	2104	42
980	2106	40
981	2108	38
982	2110	36
983	2112	34
984	2115	32
985	2117	30
986	2119	27
987	2121	25
988	2124	23
989	2126	21
990	2128	19
991	2130	17
992	2132	15
993	2134	12
994	2137	10
995	2139	8
996	2141	6
997	2143	4
998	2146	2
999	2148	0
