iter	Logloss
0	0.669378479
1	0.6484982687
2	0.6312180273
3	0.6164916859
4	0.6034123019
5	0.5926106331
6	0.5832530111
7	0.5750402362
8	0.5682512212
9	0.5611392312
10	0.5552079116
11	0.550240822
12	0.5456053988
13	0.5416324888
14	0.5379338405
15	0.534503409
16	0.5316514382
17	0.5283455631
18	0.5254164585
19	0.5222807757
20	0.5203824671
21	0.5184277153
22	0.5159731474
23	0.5140223807
24	0.512287345
25	0.5103374883
26	0.5088336269
27	0.5074537629
28	0.5060272466
29	0.5043973049
30	0.5029847412
31	0.5015500153
32	0.5004029795
33	0.4992745839
34	0.4982325652
35	0.4974128046
36	0.4963281229
37	0.4953144932
38	0.494395098
39	0.4935219918
40	0.4927476667
41	0.4920676327
42	0.4912304293
43	0.4904217846
44	0.4894855017
45	0.4886592074
46	0.4879780735
47	0.4872970508
48	0.486697019
49	0.4859608966
50	0.4853255843
51	0.4847778396
52	0.4842075839
53	0.4835410514
54	0.4830131255
55	0.4823157461
56	0.4817944673
57	0.4812773288
58	0.4808445624
59	0.4804557903
60	0.4799550822
61	0.479520276
62	0.4790897804
63	0.4786490522
64	0.4781205152
65	0.477773475
66	0.4773114317
67	0.4769740217
68	0.4766307529
69	0.4763646419
70	0.4760356306
71	0.4756756004
72	0.475287054
73	0.4749889784
74	0.4746397389
75	0.474352366
76	0.4740691696
77	0.4737917231
78	0.4735073064
79	0.4732479692
80	0.4729916044
81	0.4727689156
82	0.4725003171
83	0.4721945635
84	0.4719555333
85	0.4717255813
86	0.4715031124
87	0.4711694688
88	0.4709406722
89	0.4707679746
90	0.4705805639
91	0.4704065543
92	0.4701372473
93	0.4699504773
94	0.4696842486
95	0.4695408673
96	0.4694027899
97	0.4692331451
98	0.4690794198
99	0.4688289461
100	0.4686368788
101	0.468479768
102	0.4683142901
103	0.4681309265
104	0.4679599274
105	0.4678072553
106	0.4676541754
107	0.4675004453
108	0.4673591292
109	0.4672134051
110	0.4670827119
111	0.4669404723
112	0.4668199092
113	0.4666843281
114	0.4665079173
115	0.4664009302
116	0.4662047843
117	0.466072354
118	0.465946884
119	0.4658085169
120	0.4656533907
121	0.4655297223
122	0.4653994861
123	0.4652797784
124	0.4651656259
125	0.4650531135
126	0.464906772
127	0.464801599
128	0.4646504845
129	0.4645209727
130	0.4644437889
131	0.4643223551
132	0.4641628474
133	0.4640464992
134	0.46393334
135	0.4638233266
136	0.4636885276
137	0.4636004603
138	0.4635212764
139	0.4634193147
140	0.4633225022
141	0.4632125533
142	0.4630996254
143	0.462985667
144	0.4628919287
145	0.4627876593
146	0.4626852899
147	0.462582355
148	0.462490268
149	0.4623868071
150	0.4622914232
151	0.4621946273
152	0.4620969284
153	0.4619803828
154	0.4618961902
155	0.4618059584
156	0.4617476168
157	0.461650417
158	0.4615290148
159	0.4614439514
160	0.4613395563
161	0.4612400736
162	0.46114769
163	0.4610553037
164	0.460960636
165	0.4608535846
166	0.4607794379
167	0.4606823719
168	0.4606051504
169	0.4604998619
170	0.4603969794
171	0.4603087609
172	0.460220682
173	0.4601153751
174	0.4600308142
175	0.4599243123
176	0.459856567
177	0.4597653019
178	0.4596872868
179	0.4596079244
180	0.4595219765
181	0.4594498082
182	0.4593639795
183	0.4592835731
184	0.4591828902
185	0.4590774105
186	0.4589859056
187	0.4588841633
188	0.4587873694
189	0.4586819194
190	0.4585655355
191	0.458464225
192	0.4583686149
193	0.4582820043
194	0.4581878572
195	0.4580744712
196	0.4579868356
197	0.4579129051
198	0.4578346847
199	0.4577294933
200	0.457614888
201	0.4575176247
202	0.4574456146
203	0.4573532073
204	0.4572665145
205	0.4571777565
206	0.4570748542
207	0.4569747162
208	0.456887214
209	0.4567948559
210	0.4566858164
211	0.4566090889
212	0.456518804
213	0.4564201699
214	0.4563125542
215	0.4562025352
216	0.456104599
217	0.4559964406
218	0.4558977072
219	0.4557858483
220	0.4556934921
221	0.4556022478
222	0.4554937656
223	0.4553924032
224	0.4553202631
225	0.4552091246
226	0.4551117592
227	0.4550009491
228	0.4549263514
229	0.4548367694
230	0.4547467942
231	0.4546656617
232	0.454561444
233	0.4544719138
234	0.4543903886
235	0.4542846104
236	0.4541835371
237	0.454099243
238	0.4540221668
239	0.4539264472
240	0.4538286937
241	0.4537452633
242	0.4536513812
243	0.4535462824
244	0.4534500803
245	0.4533903122
246	0.4533121589
247	0.4532062385
248	0.4531171151
249	0.4530277359
250	0.4529461788
251	0.452871688
252	0.4527997623
253	0.4527024766
254	0.452611075
255	0.4525109015
256	0.4524183337
257	0.4523271265
258	0.4522656933
259	0.4521583538
260	0.4520625791
261	0.4519773221
262	0.4519081674
263	0.4518162141
264	0.4517451259
265	0.4516715937
266	0.451586775
267	0.4515132786
268	0.4514250944
269	0.4513528589
270	0.4512933362
271	0.4512252798
272	0.4511396901
273	0.4510605834
274	0.4509484653
275	0.4508504688
276	0.4507724279
277	0.4506961841
278	0.4505863026
279	0.4504905097
280	0.45042138
281	0.4503628599
282	0.4502952731
283	0.4502250014
284	0.450143822
285	0.4500329354
286	0.4499484082
287	0.4498387627
288	0.4497749779
289	0.4496830712
290	0.4496143256
291	0.4495292983
292	0.4494415891
293	0.4493714172
294	0.4492844377
295	0.4492009553
296	0.4491064538
297	0.4490213249
298	0.448923284
299	0.4488338101
300	0.448724887
301	0.4486442825
302	0.448561789
303	0.4484893599
304	0.4484012438
305	0.4483282889
306	0.4482437019
307	0.4481341153
308	0.4480501977
309	0.4479485388
310	0.4478642144
311	0.4477811494
312	0.4477149082
313	0.4476385079
314	0.4475463403
315	0.4474657075
316	0.4474022424
317	0.44732955
318	0.4472275067
319	0.4471364927
320	0.4470483376
321	0.4469833715
322	0.4469173945
323	0.4468216992
324	0.4467505532
325	0.4466650687
326	0.4465766157
327	0.4464957067
328	0.4464168445
329	0.4463517085
